#HEADER
Analysis
Version,1.4.0,1.04
Filename,A522_Pb-2534.TXT
MethodName,PbFaraday_Pbc3Line.TIMSAM
MethodPath,C:\IsoLinx\Projects\RIGL.Pro\Methods
IsoWorksMethod,PbFaraday_Pbc3Line
FolderPath,C:\IsoLinx\Projects\RIGL.Pro\Analysis\T0039_HiPb981DblSpk\A522_Pb.RAW
Corrected,Yes
BChannels,Yes
TimeZero, December 28, 2021 10:07:55 AM.018

#COLLECTORS
Name,Type,Resistor,Gain,Efficiency,DT
PM,PM,1e+11,1.000000000,1.000000000,31.3000
L5,F,1e+11,1.000000000,1.000000000,0.0000
L4,F,1e+11,1.000362239,1.000000000,0.0000
L3,F,1e+11,1.001916859,1.000000000,0.0000
L2,F,1e+11,0.998704526,1.000000000,0.0000
Ax,F,1e+11,0.994221629,1.000000000,0.0000
H1,F,1e+11,1.004330622,1.000000000,0.0000
H2,F,1e+11,0.967642535,1.000000000,0.0000
H3,F,1e+11,0.988378437,1.000000000,0.0000
H4,F,1e+11,0.996368444,1.000000000,0.0000

#BASELINES
ID,Block,Cycle,Integ,PeakID,AxMass,Time,PM,L5,L4,L3,L2,Ax,H1,H2,H3,H4,L5.B,L4.B,L3.B,L2.B,Ax.B,H1.B,H2.B,H3.B,H4.B
BL3, 1, 8, 1, BL3, 205.5000, 478.0398515, 0.000000000000e+000, -3.100595714314e-006, 1.599211368609e-006, -8.366624376825e-007, -4.739613677457e-006, -7.563319933331e-006, 5.914660351502e-006, 3.121520457064e-006, -2.185313551608e-006, -2.759518356368e-006, -3.100595714314e-006, 1.599211368609e-006, -8.366624376825e-007, -4.739613677457e-006, -7.563319933331e-006, 5.914660351502e-006, 3.121520457064e-006, -2.185313551608e-006, -2.759518356368e-006
BL4, 1, 8, 1, BL4, 206.5000, 484.0532477, 0.000000000000e+000, 1.461317779413e-006, -1.384283879029e-005, 4.978496540225e-007, 1.197652908335e-005, 1.664419303993e-005, 1.587918582966e-005, 5.702941646075e-006, 6.194374141632e-006, 5.214486801077e-006, 1.461317779413e-006, -1.384283879029e-005, 4.978496540225e-007, 1.197652908335e-005, 1.664419303993e-005, 1.587918582966e-005, 5.702941646075e-006, 6.194374141632e-006, 5.214486801077e-006
BL1, 1, 9, 1, BL1, 203.5000, 509.8187159, 0.000000000000e+000, -2.475660828375e-006, -9.296718970869e-006, 1.655035746559e-006, 6.047986607201e-006, -3.130257717188e-006, 4.384368430889e-006, 1.609614147497e-005, 1.786004313790e-005, 1.851420843761e-005, -2.475660828375e-006, -9.296718970869e-006, 1.655035746559e-006, 6.047986607201e-006, -3.130257717188e-006, 4.384368430889e-006, 1.609614147497e-005, 1.786004313790e-005, 1.851420843761e-005
BL2, 1, 9, 1, BL2, 204.5000, 515.8319097, 0.000000000000e+000, 5.167232582063e-006, 7.563762373775e-006, 4.715127397251e-006, 1.122235307062e-005, 5.149049764342e-006, 1.310457374073e-005, 2.465645141858e-005, 2.641239750797e-005, 1.731842488843e-005, 5.167232582063e-006, 7.563762373775e-006, 4.715127397251e-006, 1.122235307062e-005, 5.149049764342e-006, 1.310457374073e-005, 2.465645141858e-005, 2.641239750797e-005, 1.731842488843e-005
BL3, 1, 9, 1, BL3, 205.5000, 521.8447585, 0.000000000000e+000, -3.069321141159e-006, -3.933987552727e-006, 1.200533295333e-006, -6.995277760361e-006, 7.765881266618e-006, 2.924074183267e-005, 3.026738544217e-005, 1.136189800050e-005, -1.669076097903e-006, -3.069321141159e-006, -3.933987552727e-006, 1.200533295333e-006, -6.995277760361e-006, 7.765881266618e-006, 2.924074183267e-005, 3.026738544217e-005, 1.136189800050e-005, -1.669076097903e-006
BL4, 1, 9, 1, BL4, 206.5000, 527.8577945, 0.000000000000e+000, 1.494597956762e-007, 1.389306856743e-005, 1.952672480562e-005, 2.110629450196e-005, 3.468612087296e-005, 4.067265185324e-005, 1.350569545429e-005, 7.394174763557e-006, 2.527601705896e-006, 1.494597956762e-007, 1.389306856743e-005, 1.952672480562e-005, 2.110629450196e-005, 3.468612087296e-005, 4.067265185324e-005, 1.350569545429e-005, 7.394174763557e-006, 2.527601705896e-006
BL1, 1, 10, 1, BL1, 203.5000, 553.6422290, 0.000000000000e+000, 1.004602056731e-005, 5.687871285450e-006, 5.576228711148e-006, 1.510141900497e-005, 1.883014678407e-005, 1.238526550991e-005, 4.069617911941e-005, 6.014866892652e-005, 6.332756938555e-005, 1.004602056731e-005, 5.687871285450e-006, 5.576228711148e-006, 1.510141900497e-005, 1.883014678407e-005, 1.238526550991e-005, 4.069617911941e-005, 6.014866892652e-005, 6.332756938555e-005
BL2, 1, 10, 1, BL2, 204.5000, 559.6547765, 0.000000000000e+000, -3.231379928530e-006, 2.711588818739e-006, 1.242933718842e-005, 9.217220835496e-006, 2.807952786697e-006, 2.089121805731e-005, 5.836018394568e-005, 7.917276267611e-005, 3.051178119333e-005, -3.231379928530e-006, 2.711588818739e-006, 1.242933718842e-005, 9.217220835496e-006, 2.807952786697e-006, 2.089121805731e-005, 5.836018394568e-005, 7.917276267611e-005, 3.051178119333e-005
BL3, 1, 10, 1, BL3, 205.5000, 565.6680210, 0.000000000000e+000, 8.352718191500e-006, 1.740063415010e-006, 1.491297863732e-005, 2.279392348430e-005, 4.087548645859e-005, 6.525186662153e-005, 9.250666989470e-005, 2.793204364411e-005, 5.297396212503e-006, 8.352718191500e-006, 1.740063415010e-006, 1.491297863732e-005, 2.279392348430e-005, 4.087548645859e-005, 6.525186662153e-005, 9.250666989470e-005, 2.793204364411e-005, 5.297396212503e-006
BL4, 1, 10, 1, BL4, 206.5000, 571.6817273, 0.000000000000e+000, 3.439556373796e-006, 7.775244855801e-006, 2.531178126871e-005, 3.921572094811e-005, 7.823233179859e-005, 9.879356182840e-005, 4.714900390561e-005, 2.913040375662e-006, -4.313874274030e-006, 3.439556373796e-006, 7.775244855801e-006, 2.531178126871e-005, 3.921572094811e-005, 7.823233179859e-005, 9.879356182840e-005, 4.714900390561e-005, 2.913040375662e-006, -4.313874274030e-006
BL1, 2, 1, 1, BL1, 203.5000, 739.8006842, 0.000000000000e+000, -8.932464654234e-007, 1.566179160491e-006, 9.205927348947e-006, 2.135197203812e-005, 3.302814451828e-005, 5.373433708453e-005, 8.889934656257e-005, 1.805174699757e-004, 2.093798125881e-004, -8.932464654234e-007, 1.566179160491e-006, 9.205927348947e-006, 2.135197203812e-005, 3.302814451828e-005, 5.373433708453e-005, 8.889934656257e-005, 1.805174699757e-004, 2.093798125881e-004
BL2, 2, 1, 1, BL2, 204.5000, 745.8141322, 0.000000000000e+000, 1.525118344904e-005, 5.405791264390e-007, 1.224716425134e-005, 4.622147578307e-005, 5.024345581652e-005, 9.227889292729e-005, 1.927467403748e-004, 2.095769960325e-004, 9.180403175557e-005, 1.525118344904e-005, 5.405791264390e-007, 1.224716425134e-005, 4.622147578307e-005, 5.024345581652e-005, 9.227889292729e-005, 1.927467403748e-004, 2.095769960325e-004, 9.180403175557e-005
